,0,1,2
0,11.01.2006,1,34.3352
1,12.01.2006,1,34.3538
2,13.01.2006,1,34.4763
3,14.01.2006,1,34.3539
4,17.01.2006,1,34.3684
5,18.01.2006,1,34.294
6,19.01.2006,1,34.2769
7,20.01.2006,1,34.201
8,21.01.2006,1,34.1613
9,24.01.2006,1,34.3459
10,25.01.2006,1,34.3939
11,26.01.2006,1,34.3321
12,27.01.2006,1,34.2742
13,28.01.2006,1,34.1949
14,31.01.2006,1,34.0373
15,01.02.2006,1,34.0492
16,02.02.2006,1,34.1354
17,03.02.2006,1,33.9944
18,04.02.2006,1,34.0389
19,07.02.2006,1,33.9016
20,08.02.2006,1,33.8549
21,09.02.2006,1,33.8436
22,10.02.2006,1,33.8487
23,11.02.2006,1,33.8244
24,14.02.2006,1,33.6217
25,15.02.2006,1,33.5733
26,16.02.2006,1,33.5939
27,17.02.2006,1,33.5396
28,18.02.2006,1,33.526
29,21.02.2006,1,33.6531
30,22.02.2006,1,33.5837
31,23.02.2006,1,33.5741
32,27.02.2006,1,33.4397
33,28.02.2006,1,33.3305
34,01.03.2006,1,33.3291
35,02.03.2006,1,33.4472
36,03.03.2006,1,33.4373
37,04.03.2006,1,33.5753
38,07.03.2006,1,33.6552
39,08.03.2006,1,33.4786
40,10.03.2006,1,33.432
41,11.03.2006,1,33.3946
42,14.03.2006,1,33.4862
43,15.03.2006,1,33.5215
44,16.03.2006,1,33.4814
45,17.03.2006,1,33.5224
46,18.03.2006,1,33.6811
47,21.03.2006,1,33.6834
48,22.03.2006,1,33.6172
49,23.03.2006,1,33.5356
50,24.03.2006,1,33.5021
51,25.03.2006,1,33.3356
52,28.03.2006,1,33.4415
53,29.03.2006,1,33.3984
54,30.03.2006,1,33.393
55,31.03.2006,1,33.4734
56,01.04.2006,1,33.6273
57,04.04.2006,1,33.4618
58,05.04.2006,1,33.6127
59,06.04.2006,1,33.8191
60,07.04.2006,1,33.8466
61,08.04.2006,1,33.6814
62,11.04.2006,1,33.5356
63,12.04.2006,1,33.5782
64,13.04.2006,1,33.6072
65,14.04.2006,1,33.5595
66,15.04.2006,1,33.5449
67,18.04.2006,1,33.6577
68,19.04.2006,1,33.7702
69,20.04.2006,1,33.9303
70,21.04.2006,1,33.8993
71,22.04.2006,1,33.8136
72,25.04.2006,1,33.9485
73,26.04.2006,1,33.9596
74,27.04.2006,1,34.0073
75,28.04.2006,1,34.0631
76,29.04.2006,1,34.1906
77,03.05.2006,1,34.2546
78,04.05.2006,1,34.367
79,05.05.2006,1,34.2882
80,06.05.2006,1,34.4091
81,07.05.2006,1,34.4703
82,11.05.2006,1,34.5438
83,12.05.2006,1,34.4779
84,13.05.2006,1,34.6892
85,16.05.2006,1,34.7359
86,17.05.2006,1,34.6165
87,18.05.2006,1,34.7016
88,19.05.2006,1,34.5095
89,20.05.2006,1,34.5988
90,23.05.2006,1,34.4532
91,24.05.2006,1,34.6764
